
NOTICE: Existing SQLite export found: prod_nsys.sqlite
        It is assumed file was previously exported from: prod_nsys.nsys-rep
        Consider using --force-export=true if needed.

Processing [prod_nsys.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
0.0,32.3294,32,1.0103,1.0857,0.8023,1.0884,0.1245,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,31.1523,512,0.0608,0.0556,0.0529,0.0831,0.0099,computeUnconstrainedSpatialInertiaLaunch1T
0.0,30.0584,512,0.0587,0.0561,0.0549,0.0682,0.0048,updateBodiesLaunch1T
0.0,29.8360,336,0.0888,0.0231,0.0020,1.4323,0.2257,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,29.6499,13232,0.0022,0.0023,0.0017,0.0044,0.0003,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,29.0564,9792,0.0030,0.0029,0.0026,0.0048,0.0003,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctorOnSelf_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,28.7088,4096,0.0070,0.0070,0.0068,0.0119,0.0002,radixSortMultiCalculateRanksLaunchWithCount
0.0,27.8545,168,0.1658,0.0459,0.0454,0.6767,0.2481,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,24.6821,1632,0.0151,0.0109,0.0029,0.0332,0.0120,nvjet_tst_192x16_64x8_2x1_v_bz_NNT
0.0,22.0437,512,0.0431,0.0428,0.0417,0.0473,0.0010,sortAndUpdateAggregateProjections
0.0,18.8402,13640,0.0014,0.0014,0.0011,0.0021,0.0001,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.0,18.7729,512,0.0367,0.0419,0.0190,0.0436,0.0093,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)1>, at::native::<unnamed>::BinaryOpScalarFunctor<c10::BFloat16, (int)1, (int)1, (int)0>, std::multiplies<float>, float>(T1, T2, T3...)"
0.0,18.1182,4096,0.0044,0.0044,0.0042,0.0173,0.0002,radixSortMultiBlockLaunchWithCount
0.0,17.3865,96,0.1811,0.1805,0.0084,0.3536,0.1383,nvjet_tst_512x16_64x3_1x1_v_bz_NNT
0.0,16.9023,256,0.0660,0.0701,0.0226,0.0974,0.0224,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)3>, at::native::<unnamed>::PointwiseOpScalarListFunctor<c10::BFloat16, (int)3, (int)3, (int)0>, std::divides<float>>(T1, T2, T3...)"
0.0,16.5226,8336,0.0020,0.0018,0.0010,0.0066,0.0007,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,15.6202,1056,0.0148,0.0040,0.0032,0.8208,0.0272,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,14.7035,272,0.0541,0.0542,0.0203,0.0881,0.0335,"void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<T3>, const T1 *, T2 *)"
0.0,14.5561,8232,0.0018,0.0016,0.0014,0.0046,0.0005,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,14.3964,11968,0.0012,0.0012,0.0010,0.0020,0.0001,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,13.9443,512,0.0272,0.0282,0.0172,0.0302,0.0028,artiComputeDependencies
0.0,12.7934,701,0.0183,0.0202,0.0017,0.0363,0.0079,convexConvexNphase_stage2Kernel
0.0,12.7449,256,0.0498,0.0473,0.0177,0.0846,0.0197,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMetadata<float, (int)1>, at::native::<unnamed>::BinaryOpScalarListFunctor<c10::BFloat16, (int)1, (int)1, (int)0>, std::divides<float>>(T1, T2, T3...)"
0.0,12.6126,32,0.3941,0.3769,0.3509,1.0212,0.1153,nvjet_tst_512x16_64x3_2x1_v_bz_TNT
